iter	Passed	Remaining
0	187	224714
1	217	13051822	251	10049333	279	8361444	308	73645	5	344	68646	6	376	64097	7	409	61088	8	444	58799	9	488	581310	499	54000
11	569	56380
12	629	57443
13	684	58017
14	733	57913
15	783	57974
16	823	57312
17	867	56944
18	926	57573
19	987	58235
20	1041	58453
21	1086	58172
22	1128	57741
23	1184	58038
24	1219	57324
25	1254	56650
26	1289	56005
27	1326	55539
28	1366	55167
29	1414	55147
30	1453	54829
31	1500	54776
32	1537	54357
33	1575	54016
34	1609	53576
35	1650	53381
36	1689	53100
37	1734	53051
38	1773	52781
39	1809	52475
40	1844	52140
41	1884	51967
42	1924	51793
43	1961	51530
44	2000	51341
45	2041	51226
46	2076	50948
47	2112	50695
48	2146	50410
49	2184	50252
50	2219	50011
51	2254	49772
52	2286	49473
53	2328	49421
54	2368	49310
55	2405	49145
56	2446	49062
57	2483	48893
58	2521	48766
59	2553	48517
60	2590	48366
61	2635	48380
62	2676	48297
63	2716	48219
64	2754	48102
65	2792	47977
66	2830	47870
67	2867	47728
68	2910	47701
69	2948	47602
70	2985	47469
71	3020	47319
72	3061	47266
73	3098	47141
74	3138	47074
75	3189	47174
76	3233	47161
77	3272	47067
78	3310	46970
79	3344	46817
80	3415	47180
81	3456	47130
82	3489	46959
83	3517	46727
84	3540	46445
85	3566	46192
86	3600	46063
87	3632	45899
88	3660	45698
89	3688	45487
90	3714	45272
91	3744	45096
92	3782	45020
93	3812	44859
94	3843	44700
95	3869	44494
96	3898	44327
97	3926	44154
98	3951	43948
99	3983	43817
100	4013	43666
101	4052	43620
102	4087	43529
103	4127	43501
104	4161	43402
105	4199	43338
106	4239	43310
107	4276	43239
108	4318	43229
109	4352	43132
110	4392	43095
111	4436	43093
112	4471	43009
113	4508	42952
114	4541	42848
115	4581	42812
116	4620	42766
117	4662	42750
118	4705	42741
119	4744	42698
120	4780	42633
121	4820	42591
122	4856	42523
123	4891	42444
124	4929	42393
125	4974	42402
126	5006	42299
127	5050	42301
128	5089	42256
129	5124	42179
130	5159	42105
131	5191	42005
132	5224	41915
133	5254	41798
134	5285	41696
135	5314	41578
136	5344	41466
137	5374	41358
138	5409	41290
139	5443	41213
140	5470	41083
141	5499	40973
142	5527	40859
143	5558	40761
144	5587	40652
145	5613	40522
146	5640	40405
147	5665	40271
148	5692	40149
149	5719	40035
150	5744	39910
151	5775	39818
152	5805	39728
153	5834	39630
154	5863	39529
155	5888	39405
156	5915	39295
157	5939	39170
158	5967	39070
159	5993	38956
160	6021	38858
161	6047	38748
162	6072	38633
163	6101	38544
164	6126	38427
165	6151	38318
166	6177	38213
167	6211	38155
168	6243	38087
169	6270	37989
170	6295	37883
171	6320	37774
172	6347	37683
173	6377	37605
174	6403	37508
175	6434	37438
176	6461	37346
177	6488	37257
178	6518	37178
179	6546	37095
180	6572	37000
181	6598	36905
182	6627	36831
183	6657	36762
184	6686	36685
185	6710	36582
186	6738	36502
187	6766	36425
188	6798	36365
189	6823	36274
190	6851	36194
191	6876	36099
192	6901	36009
193	6931	35942
194	6959	35870
195	6990	35808
196	7019	35739
197	7045	35656
198	7075	35589
199	7102	35512
200	7133	35454
201	7162	35384
202	7198	35352
203	7225	35277
204	7253	35206
205	7283	35145
206	7308	35057
207	7333	34974
208	7361	34904
209	7390	34840
210	7419	34776
211	7448	34714
212	7472	34627
213	7499	34556
214	7525	34478
215	7554	34415
216	7582	34347
217	7607	34266
218	7631	34184
219	7657	34110
220	7684	34042
221	7711	33973
222	7736	33894
223	7760	33813
224	7788	33748
225	7820	33702
226	7848	33639
227	7872	33560
228	7899	33493
229	7920	33404
230	7946	33334
231	7970	33257
232	7995	33181
233	8022	33120
234	8049	33054
235	8076	32989
236	8104	32929
237	8130	32864
238	8153	32783
239	8181	32726
240	8205	32653
241	8236	32604
242	8265	32550
243	8290	32482
244	8314	32409
245	8346	32369
246	8370	32296
247	8394	32223
248	8416	32143
249	8437	32061
250	8460	31987
251	8483	31915
252	8512	31864
253	8542	31816
254	8565	31743
255	8590	31679
256	8615	31614
257	8644	31560
258	8675	31519
259	8707	31479
260	8738	31440
261	8765	31380
262	8789	31313
263	8813	31249
264	8847	31218
265	8876	31168
266	8905	31119
267	8936	31077
268	8969	31043
269	8997	30993
270	9040	30991
271	9076	30967
272	9109	30931
273	9137	30879
274	9173	30855
275	9199	30797
276	9226	30744
277	9255	30695
278	9282	30643
279	9303	30568
280	9332	30522
281	9360	30470
282	9383	30403
283	9415	30367
284	9440	30308
285	9464	30246
286	9494	30204
287	9521	30150
288	9553	30114
289	9575	30046
290	9604	30002
291	9638	29971
292	9661	29908
293	9690	29862
294	9715	29805
295	9741	29750
296	9766	29694
297	9798	29657
298	9825	29607
299	9852	29556
300	9878	29504
301	9903	29448
302	9930	29398
303	9956	29344
304	9981	29289
305	10005	29232
306	10028	29170
307	10051	29110
308	10074	29050
309	10097	28988
310	10124	28942
311	10151	28893
312	10180	28849
313	10205	28795
314	10229	28739
315	10252	28680
316	10277	28628
317	10308	28591
318	10333	28538
319	10356	28479
320	10383	28433
321	10410	28385
322	10440	28348
323	10462	28288
324	10490	28243
325	10517	28196
326	10540	28139
327	10562	28080
328	10598	28059
329	10640	28051
330	10671	28017
331	10711	28005
332	10745	27975
333	10784	27961
334	10809	27911
335	10836	27864
336	10868	27833
337	10895	27786
338	10921	27738
339	10947	27691
340	10971	27637
341	10995	27585
342	11022	27540
343	11046	27488
344	11074	27446
345	11101	27399
346	11128	27355
347	11156	27315
348	11182	27267
349	11205	27213
350	11230	27163
351	11255	27115
352	11283	27074
353	11315	27042
354	11341	26996
355	11367	26950
356	11396	26912
357	11425	26872
358	11452	26829
359	11487	26803
360	11517	26767
361	11543	26721
362	11565	26666
363	11588	26615
364	11613	26567
365	11637	26518
366	11669	26487
367	11698	26448
368	11725	26406
369	11760	26381
370	11783	26329
371	11806	26279
372	11836	26243
373	11870	26216
374	11913	26210
375	11953	26195
376	11993	26182
377	12032	26166
378	12066	26138
379	12099	26109
380	12138	26093
381	12174	26068
382	12211	26049
383	12242	26015
384	12274	25984
385	12314	25969
386	12357	25959
387	12389	25928
388	12421	25896
389	12453	25865
390	12493	25850
391	12526	25819
392	12563	25797
393	12590	25756
394	12615	25709
395	12645	25674
396	12670	25629
397	12694	25579
398	12719	25534
399	12746	25493
400	12777	25460
401	12805	25419
402	12829	25372
403	12855	25328
404	12880	25284
405	12904	25236
406	12934	25200
407	12958	25154
408	12979	25101
409	13002	25054
410	13034	25021
411	13064	24987
412	13089	24942
413	13120	24909
414	13146	24866
415	13169	24819
416	13197	24780
417	13225	24741
418	13252	24702
419	13281	24665
420	13307	24624
421	13331	24578
422	13354	24529
423	13379	24486
424	13403	24440
425	13425	24393
426	13451	24350
427	13473	24302
428	13499	24261
429	13528	24225
430	13555	24185
431	13578	24139
432	13605	24100
433	13630	24057
434	13660	24023
435	13687	23984
436	13715	23948
437	13743	23909
438	13768	23867
439	13795	23828
440	13818	23782
441	13845	23743
442	13873	23706
443	13898	23665
444	13924	23624
445	13951	23585
446	13977	23546
447	14004	23506
448	14038	23480
449	14095	23492
450	14115	23442
451	14135	23392
452	14162	23354
453	14182	23303
454	14202	23254
455	14226	23210
456	14252	23171
457	14272	23123
458	14292	23072
459	14333	23058
460	14375	23044
461	14408	23015
462	14444	22993
463	14479	22967
464	14515	22943
465	14559	22932
466	14593	22905
467	14628	22880
468	14662	22853
469	14700	22833
470	14736	22808
471	14780	22796
472	14814	22769
473	14843	22734
474	14875	22704
475	14899	22662
476	14925	22622
477	14955	22589
478	14981	22550
479	15010	22516
480	15036	22476
481	15067	22444
482	15091	22403
483	15120	22367
484	15156	22344
485	15196	22325
486	15237	22309
487	15272	22282
488	15309	22260
489	15348	22239
490	15382	22212
491	15416	22184
492	15451	22158
493	15484	22129
494	15524	22110
495	15563	22090
496	15601	22067
497	15636	22041
498	15674	22019
499	15708	21992
500	15753	21979
501	15789	21954
502	15832	21939
503	15860	21902
504	15895	21876
505	15923	21839
506	15949	21800
507	15980	21768
508	16005	21728
509	16028	21685
510	16055	21647
511	16079	21607
512	16106	21569
513	16125	21521
514	16147	21478
515	16176	21443
516	16202	21405
517	16229	21367
518	16258	21333
519	16289	21301
520	16316	21264
521	16342	21225
522	16367	21187
523	16392	21147
524	16414	21104
525	16437	21062
526	16461	21021
527	16486	20982
528	16512	20945
529	16536	20905
530	16568	20874
531	16594	20836
532	16620	20798
533	16649	20765
534	16675	20727
535	16700	20688
536	16725	20649
537	16751	20613
538	16777	20574
539	16809	20544
540	16837	20509
541	16864	20474
542	16893	20440
543	16926	20410
544	16964	20388
545	16999	20362
546	17038	20340
547	17076	20317
548	17114	20294
549	17144	20261
550	17180	20235
551	17213	20207
552	17250	20182
553	17287	20158
554	17327	20136
555	17361	20109
556	17395	20081
557	17429	20053
558	17461	20023
559	17501	20001
560	17537	19975
561	17576	19953
562	17617	19932
563	17648	19901
564	17688	19879
565	17728	19858
566	17766	19835
567	17810	19817
568	17846	19790
569	17877	19758
570	17909	19728
571	17940	19697
572	17974	19668
573	17998	19629
574	18023	19591
575	18048	19552
576	18074	19515
577	18100	19478
578	18131	19446
579	18158	19410
580	18185	19375
581	18208	19334
582	18234	19298
583	18258	19259
584	18283	19220
585	18308	19182
586	18336	19149
587	18363	19112
588	18389	19076
589	18411	19035
590	18437	18998
591	18467	18966
592	18491	18928
593	18518	18893
594	18547	18859
595	18576	18825
596	18600	18787
597	18625	18750
598	18652	18714
599	18675	18675
600	18701	18638
601	18726	18602
602	18754	18568
603	18781	18532
604	18805	18494
605	18831	18458
606	18855	18420
607	18881	18384
608	18910	18351
609	18938	18317
610	18966	18283
611	18993	18248
612	19020	18213
613	19043	18175
614	19066	18136
615	19093	18101
616	19118	18065
617	19146	18030
618	19175	17998
619	19198	17960
620	19224	17924
621	19247	17885
622	19271	17848
623	19300	17815
624	19330	17783
625	19356	17748
626	19383	17714
627	19410	17679
628	19438	17645
629	19464	17610
630	19489	17574
631	19516	17539
632	19543	17505
633	19568	17469
634	19591	17431
635	19613	17393
636	19640	17358
637	19661	17319
638	19691	17288
639	19715	17251
640	19744	17218
641	19771	17184
642	19797	17149
643	19830	17120
644	19856	17085
645	19884	17053
646	19911	17018
647	19939	16985
648	19962	16947
649	19986	16911
650	20011	16875
651	20041	16845
652	20071	16813
653	20099	16780
654	20121	16742
655	20143	16704
656	20167	16668
657	20192	16632
658	20216	16596
659	20237	16557
660	20263	16523
661	20295	16494
662	20319	16457
663	20350	16427
664	20374	16391
665	20403	16359
666	20428	16324
667	20454	16290
668	20481	16256
669	20515	16229
670	20542	16195
671	20567	16160
672	20597	16129
673	20621	16093
674	20642	16055
675	20667	16020
676	20694	15986
677	20719	15952
678	20744	15917
679	20770	15882
680	20797	15850
681	20822	15815
682	20849	15782
683	20870	15744
684	20897	15711
685	20925	15678
686	20949	15643
687	20979	15612
688	21009	15582
689	21031	15545
690	21057	15511
691	21079	15474
692	21109	15444
693	21137	15411
694	21162	15377
695	21191	15345
696	21214	15309
697	21241	15276
698	21265	15241
699	21291	15208
700	21317	15174
701	21346	15143
702	21372	15109
703	21397	15075
704	21420	15039
705	21444	15004
706	21470	14971
707	21509	14947
708	21568	14936
709	21617	14919
710	21658	14895
711	21690	14866
712	21723	14837
713	21759	14810
714	21794	14783
715	21826	14754
716	21854	14722
717	21882	14689
718	21907	14655
719	21932	14621
720	21962	14590
721	21988	14557
722	22013	14523
723	22038	14489
724	22062	14454
725	22088	14421
726	22114	14388
727	22140	14354
728	22164	14320
729	22190	14287
730	22219	14255
731	22248	14224
732	22271	14189
733	22296	14155
734	22317	14119
735	22341	14085
736	22365	14050
737	22396	14020
738	22422	13987
739	22451	13956
740	22478	13923
741	22501	13889
742	22532	13859
743	22557	13825
744	22583	13792
745	22610	13760
746	22633	13725
747	22667	13697
748	22692	13664
749	22718	13631
750	22745	13598
751	22772	13566
752	22800	13535
753	22823	13500
754	22847	13466
755	22868	13430
756	22888	13394
757	22910	13359
758	22937	13327
759	22957	13291
760	22981	13257
761	23007	13224
762	23034	13192
763	23061	13160
764	23088	13128
765	23114	13095
766	23137	13062
767	23161	13028
768	23186	12995
769	23211	12962
770	23242	12932
771	23267	12899
772	23298	12869
773	23317	12833
774	23343	12801
775	23374	12771
776	23403	12740
777	23426	12707
778	23452	12674
779	23476	12641
780	23498	12606
781	23527	12576
782	23551	12542
783	23575	12509
784	23605	12479
785	23647	12455
786	23684	12429
787	23713	12398
788	23745	12369
789	23771	12337
790	23799	12305
791	23824	12273
792	23852	12241
793	23880	12210
794	23903	12177
795	23938	12149
796	23964	12117
797	23997	12088
798	24029	12059
799	24070	12035
800	24104	12007
801	24141	11980
802	24178	11953
803	24201	11920
804	24228	11888
805	24250	11854
806	24274	11821
807	24303	11790
808	24331	11759
809	24356	11727
810	24382	11695
811	24406	11662
812	24435	11631
813	24461	11599
814	24485	11566
815	24510	11534
816	24537	11502
817	24561	11470
818	24590	11439
819	24616	11407
820	24644	11376
821	24666	11343
822	24692	11311
823	24739	11288
824	24772	11260
825	24800	11229
826	24826	11197
827	24852	11165
828	24880	11134
829	24906	11102
830	24932	11070
831	24956	11038
832	24981	11006
833	25018	10979
834	25045	10947
835	25071	10916
836	25094	10883
837	25119	10851
838	25152	10822
839	25179	10791
840	25204	10758
841	25226	10725
842	25251	10693
843	25276	10661
844	25301	10629
845	25332	10600
846	25358	10568
847	25390	10539
848	25430	10513
849	25466	10486
850	25492	10454
851	25521	10424
852	25549	10393
853	25581	10364
854	25612	10334
855	25640	10304
856	25665	10272
857	25695	10242
858	25727	10213
859	25768	10187
860	25804	10159
861	25830	10128
862	25863	10099
863	25893	10069
864	25920	10038
865	25950	10008
866	25980	9978
867	26008	9947
868	26030	9915
869	26072	9889
870	26123	9867
871	26165	9841
872	26199	9813
873	26234	9785
874	26297	9767
875	26353	9747
876	26388	9718
877	26422	9690
878	26452	9660
879	26482	9629
880	26511	9599
881	26541	9569
882	26569	9538
883	26596	9507
884	26632	9479
885	26663	9449
886	26692	9419
887	26722	9389
888	26752	9358
889	26783	9329
890	26808	9297
891	26834	9265
892	26860	9234
893	26885	9202
894	26920	9174
895	26948	9143
896	26975	9112
897	27003	9081
898	27031	9050
899	27057	9019
900	27087	8989
901	27122	8960
902	27163	8934
903	27197	8905
904	27230	8876
905	27264	8847
906	27302	8819
907	27341	8792
908	27379	8765
909	27416	8737
910	27460	8711
911	27498	8683
912	27539	8656
913	27583	8631
914	27623	8604
915	27660	8575
916	27699	8548
917	27733	8519
918	27780	8494
919	27827	8469
920	27866	8441
921	27903	8413
922	27937	8384
923	27971	8355
924	28020	8330
925	28056	8301
926	28091	8272
927	28129	8244
928	28169	8217
929	28204	8188
930	28240	8159
931	28277	8131
932	28314	8102
933	28355	8075
934	28391	8046
935	28424	8017
936	28474	7992
937	28510	7963
938	28541	7933
939	28575	7903
940	28603	7872
941	28642	7844
942	28676	7815
943	28709	7785
944	28741	7755
945	28776	7726
946	28810	7696
947	28843	7667
948	28879	7638
949	28915	7609
950	28954	7581
951	28997	7553
952	29035	7525
953	29071	7496
954	29095	7464
955	29119	7432
956	29143	7400
957	29171	7368
958	29196	7337
959	29220	7305
960	29243	7272
961	29272	7242
962	29299	7210
963	29322	7178
964	29356	7149
965	29397	7121
966	29429	7091
967	29460	7060
968	29498	7032
969	29538	7003
970	29568	6973
971	29605	6944
972	29640	6915
973	29673	6885
974	29717	6857
975	29742	6826
976	29767	6794
977	29786	6761
978	29811	6729
979	29836	6697
980	29858	6665
981	29880	6633
982	29907	6602
983	29933	6570
984	29963	6540
985	29987	6508
986	30018	6478
987	30045	6447
988	30072	6415
989	30098	6384
990	30122	6352
991	30151	6322
992	30177	6290
993	30203	6259
994	30227	6227
995	30250	6195
996	30273	6163
997	30298	6132
998	30324	6101
999	30349	6069
1000	30377	6039
1001	30406	6008
1002	30427	5976
1003	30449	5944
1004	30471	5912
1005	30491	5880
1006	30514	5848
1007	30541	5817
1008	30563	5785
1009	30588	5754
1010	30610	5722
1011	30629	5690
1012	30652	5658
1013	30673	5626
1014	30698	5595
1015	30724	5564
1016	30751	5533
1017	30775	5502
1018	30799	5470
1019	30824	5439
1020	30848	5408
1021	30873	5377
1022	30900	5346
1023	30923	5314
1024	30944	5283
1025	30968	5251
1026	30989	5220
1027	31014	5189
1028	31035	5157
1029	31061	5126
1030	31083	5095
1031	31106	5063
1032	31128	5032
1033	31150	5001
1034	31179	4970
1035	31201	4939
1036	31225	4908
1037	31250	4877
1038	31275	4846
1039	31297	4815
1040	31319	4783
1041	31341	4752
1042	31360	4720
1043	31381	4689
1044	31403	4657
1045	31423	4626
1046	31446	4595
1047	31465	4563
1048	31483	4532
1049	31501	4500
1050	31519	4468
1051	31538	4437
1052	31560	4405
1053	31575	4373
1054	31588	4341
1055	31604	4309
1056	31617	4277
1057	31631	4245
1058	31648	4213
1059	31664	4182
1060	31680	4150
1061	31694	4118
1062	31709	4086
1063	31722	4054
1064	31737	4023
1065	31750	3991
1066	31765	3959
1067	31781	3928
1068	31797	3896
1069	31811	3864
1070	31826	3833
1071	31838	3801
1072	31846	3769
1073	31858	3737
1074	31867	3705
1075	31877	3673
1076	31888	3641
1077	31898	3610
1078	31909	3578
1079	31920	3546
1080	31930	3514
1081	31939	3483
1082	31949	3451
1083	31958	3419
1084	31967	3388
1085	31976	3356
1086	31985	3325
1087	31994	3293
1088	32004	3262
1089	32013	3230
1090	32023	3199
1091	32033	3168
1092	32042	3136
1093	32052	3105
1094	32061	3074
1095	32071	3043
1096	32080	3012
1097	32091	2981
1098	32101	2950
1099	32109	2919
1100	32120	2888
1101	32129	2857
1102	32138	2826
1103	32147	2795
1104	32157	2764
1105	32166	2733
1106	32175	2703
1107	32185	2672
1108	32194	2641
1109	32202	2611
1110	32211	2580
1111	32220	2549
1112	32228	2519
1113	32237	2488
1114	32246	2458
1115	32255	2427
1116	32265	2397
1117	32274	2367
1118	32283	2336
1119	32292	2306
1120	32301	2276
1121	32310	2246
1122	32318	2215
1123	32327	2185
1124	32336	2155
1125	32346	2125
1126	32355	2095
1127	32364	2065
1128	32372	2035
1129	32381	2005
1130	32391	1976
1131	32399	1946
1132	32408	1916
1133	32417	1886
1134	32425	1856
1135	32434	1827
1136	32443	1797
1137	32452	1768
1138	32461	1738
1139	32471	1709
1140	32480	1679
1141	32488	1650
1142	32497	1620
1143	32507	1591
1144	32515	1561
1145	32525	1532
1146	32535	1503
1147	32545	1474
1148	32554	1444
1149	32563	1415
1150	32571	1386
1151	32581	1357
1152	32589	1328
1153	32598	1299
1154	32607	1270
1155	32617	1241
1156	32626	1212
1157	32636	1183
1158	32645	1154
1159	32654	1126
1160	32663	1097
1161	32672	1068
1162	32681	1039
1163	32690	1011
1164	32699	982
1165	32708	953
1166	32718	925
1167	32727	896
1168	32736	868
1169	32745	839
1170	32756	811
1171	32765	782
1172	32774	754
1173	32782	726
1174	32792	697
1175	32800	669
1176	32809	641
1177	32818	612
1178	32826	584
1179	32835	556
1180	32844	528
1181	32854	500
1182	32863	472
1183	32872	444
1184	32881	416
1185	32891	388
1186	32901	360
1187	32909	332
1188	32918	304
1189	32927	276
1190	32937	248
1191	32945	221
1192	32954	193
1193	32963	165
1194	32972	137
1195	32982	110
1196	32990	82
1197	33000	55
1198	33009	27
1199	33018	0
